country,clf,feat_set,inc,auc_score,N,N_p,N_n
BD,RF,inc-only,3,0.8923032480278509,4186,157,4029
BD,RF,inc-only,4,0.9679131559942225,4186,157,4029
BD,RF,inc-only,5,0.9338865458686716,4186,157,4029
BD,RF,inc-only,6,0.9401402455773242,4186,157,4029
BD,RF,inc-only,7,0.9252532467933287,4186,157,4029
BD,RF,inc-only,8,0.9680871156006567,4186,157,4029
BD,RF,appended,1,0.8678444432613607,4186,157,4029
BD,RF,appended,2,0.9364641818821525,4186,157,4029
BD,RF,appended,3,0.9483117369109786,4186,157,4029
BD,RF,appended,4,0.979830268632026,4186,157,4029
BD,RF,appended,5,0.9690779276693456,4186,157,4029
BD,RF,appended,6,0.9806054328234757,4186,157,4029
BD,RF,appended,7,0.9812652810698369,4186,157,4029
BD,RF,appended,8,0.9840492481759935,4186,157,4029
BD,XGB,inc-only,1,0.8406381862400159,4186,157,4029
BD,XGB,inc-only,2,0.9091866196313716,4186,157,4029
BD,XGB,inc-only,3,0.8908282833660481,4186,157,4029
BD,XGB,inc-only,4,0.9588621756292978,4186,157,4029
BD,XGB,inc-only,5,0.9179547555337456,4186,157,4029
BD,XGB,inc-only,6,0.9362521681295755,4186,157,4029
BD,XGB,inc-only,7,0.9191871443032974,4186,157,4029
BD,XGB,inc-only,8,0.9684456594200215,4186,157,4029
